Category,License,Dependency,Notes
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.akka # akka-serialization-jackson_2.12 # 2.6.8,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.akka # akka-slf4j_2.12 # 2.6.8,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.akka # akka-stream_2.12 # 2.6.8,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # build-link # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # cachecontrol_2.12 # 2.0.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # filters-helpers_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-ahc-ws_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-akka-http-server_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-akka-http2-support_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-cache_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-ehcache_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-exceptions # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-functional_2.12 # 2.8.1,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-guice_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-json_2.12 # 2.8.1,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-logback_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-server_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-streams_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-test_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-ws_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play_2.12 # 2.8.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # twirl-api_2.12 # 1.5.0,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang # scala-library # 2.12.11,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang # scala-reflect # 2.12.11,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-java8-compat_2.12 # 0.9.1,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-parser-combinators_2.12 # 1.1.2,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-xml_2.12 # 1.2.0,
Apache,Apache2.0 (https://opensource.org/licenses/Apache-2.0),com.sksamuel.exts # exts_2.12 # 1.61.1,
Apache,"The Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.agrona # agrona # 1.4.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-annotations # 2.11.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-core # 2.11.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-databind # 2.11.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.dataformat # jackson-dataformat-cbor # 2.10.4,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.datatype # jackson-datatype-jdk8 # 2.10.4,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.datatype # jackson-datatype-jsr310 # 2.10.4,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-parameter-names # 2.10.4,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-paranamer # 2.11.2,
Apache,"The Apache Software License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-scala_2.12 # 2.11.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.jnr # jffi # 1.2.18,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.jnr # jnr-a64asm # 1.0.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.jnr # jnr-constants # 0.9.12,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.jnr # jnr-ffi # 2.1.9,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.code.findbugs # jsr305 # 3.0.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # failureaccess # 1.0.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # listenablefuture # 9999.0-empty-to-avoid-conflict-with-guava,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.inject # guice # 4.2.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.inject.extensions # guice-assistedinject # 4.2.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.j2objc # j2objc-annotations # 1.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.twitter # hpack # 1.0.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-logging # commons-logging # 1.1.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-logging # commons-logging # 1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",javax.inject # javax.inject # 1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.bytebuddy # byte-buddy # 1.8.15,
Apache,"The Apache Software License, Version 2.0 (src/assemble/EHCACHE-CORE-LICENSE.txt)",net.sf.ehcache # ehcache # 2.10.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.ehcache # jcache # 1.0.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.elasticsearch.client # elasticsearch-rest-client # 7.9.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.lmdbjava # lmdbjava # 0.7.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.lz4 # lz4-java # 1.7.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # htmlunit-driver # 2.36.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # selenium-api # 3.141.59,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # selenium-firefox-driver # 3.141.59,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # selenium-remote-driver # 3.141.59,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # selenium-support # 3.141.59,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xalan # serializer # 2.7.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xalan # xalan # 2.7.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xerces # xercesImpl # 2.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xml-apis # xml-apis # 1.4.01,
